Pakistan Stock Exchange - COMPLETELY FIXED Data
Timestamp,2025-12-17 21:34:32
Total Valid Stocks,482
Fix Applied,Complete column mapping correction - All data validated

Symbol,Sector,Listed_In,LDCP,Open,High,Low,Current,Change,Change(%),Volume
BOP,0807,"ALLSHR,BKTI,JSGBKTI,KSE100,KSE100PR,KSE30,PSXDIV20",37.11,37.75,38.75,37.55,37.86,0.75,2.02,90619311.0
"HASCOL
NC",0821,ALLSHR,14.22,14.25,15.64,14.06,15.63,1.41,9.92,83921872.0
TPL,0828,ALLSHR,11.75,10.82,12.3,10.59,12.02,0.27,2.3,53150686.0
KEL,0824,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",5.56,5.56,5.62,5.5,5.53,-0.03,-0.54,43683382.0
TPLP,0838,"ALLSHR,KMIALLSHR",12.56,12.6,13.25,12.43,12.86,0.3,2.39,38091141.0
PIBTL,0833,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",17.75,17.75,18.17,17.39,17.49,-0.26,-1.46,37482114.0
FNEL,0813,ALLSHR,20.44,19.05,21.44,18.8,20.49,0.05,0.25,36863271.0
PIAHCLA,0813,"ALLSHR,JSMFI",41.13,41.8,45.24,41.31,45.24,4.11,9.99,34166564.0
SSGC,0821,"ALLSHR,JSMFI,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30",39.26,39.35,39.5,35.91,37.15,-2.11,-5.37,30790996.0
WTL,0828,ALLSHR,1.81,1.85,1.85,1.79,1.8,-0.01,-0.55,30626930.0
HUMNL,0828,"ALLSHR,KSE100,KSE100PR",14.61,14.85,14.85,14.1,14.17,-0.44,-3.01,28691734.0
PACE,0838,ALLSHR,20.06,19.9,20.05,18.26,18.72,-1.34,-6.68,25514305.0
"NBP
XD",0807,"ALLSHR,BKTI,JSGBKTI,KSE100,KSE100PR,KSE30",225.03,225.9,239.9,225.25,237.03,12.0,5.33,24777802.0
SEARL,0823,"ACI,ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30",106.85,107.0,112.29,107.0,111.02,4.17,3.9,21327929.0
SBL,0807,ALLSHR,12.6,12.43,13.86,12.4,13.86,1.26,10.0,20076059.0
TELE,0828,"ALLSHR,KMIALLSHR",11.46,11.49,12.05,11.34,11.77,0.31,2.71,17623050.0
STPL,0818,ALLSHR,8.3,8.3,9.25,8.11,9.16,0.86,10.36,16884681.0
BNL,0810,"ALLSHR,KMIALLSHR",12.86,12.88,13.02,12.48,12.53,-0.33,-2.57,16018782.0
PTC,0828,"ALLSHR,JSMFI,KSE100,KSE100PR",47.27,47.4,48.84,47.4,48.11,0.84,1.78,14184202.0
BML,0807,ALLSHR,6.02,6.05,6.13,6.02,6.05,0.03,0.5,12780981.0
AGSML,0826,ALLSHR,10.35,11.15,11.39,10.0,10.3,-0.05,-0.48,11588899.0
KAPCO,0824,"ALLSHR,KSE100,KSE100PR",39.31,39.89,41.04,38.81,39.96,0.65,1.65,9881052.0
MUGHAL,0808,"ACI,ALLSHR,KMIALLSHR",95.56,96.1,99.89,96.1,97.42,1.86,1.95,9456640.0
TPLT,0828,"ALLSHR,KMIALLSHR",9.71,9.9,10.71,9.6,10.71,1.0,10.3,9204012.0
PAEL,0803,"ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30,MZNPI",55.33,55.1,56.5,55.1,56.15,0.82,1.48,8957430.0
MLCF,0804,"ACI,ALLSHR,JSMFI,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30,MZNPI",126.4,126.39,130.5,126.07,127.13,0.73,0.58,8788354.0
BECO,0808,"ALLSHR,KMIALLSHR",6.74,6.74,6.78,6.62,6.65,-0.09,-1.33,8314541.0
KOSM,0830,ALLSHR,6.95,6.98,6.98,6.75,6.81,-0.14,-2.01,8290828.0
"OBOY
NC",0821,"ALLSHR,KMIALLSHR",11.57,11.75,12.59,11.4,11.98,0.41,3.54,8099221.0
TREET,0810,"ALLSHR,KMIALLSHR",31.11,31.22,32.15,31.05,31.87,0.76,2.44,7918167.0
CSIL,0812,ALLSHR,6.3,6.21,6.69,6.12,6.3,0.0,0.0,7744602.0
CNERGY,0825,"ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR",7.65,7.61,7.82,7.61,7.74,0.09,1.18,7712623.0
QUICE,0810,"ALLSHR,KMIALLSHR",15.88,15.88,17.47,15.3,17.47,1.59,10.01,7587998.0
NPL,0824,ALLSHR,63.13,63.15,68.4,62.5,64.28,1.15,1.82,6959332.0
DSIL,0830,ALLSHR,15.3,14.7,15.5,13.77,15.15,-0.15,-0.98,6806285.0
NCPL,0824,ALLSHR,50.72,51.0,53.3,50.0,50.27,-0.45,-0.89,6796894.0
FCCL,0804,"ACI,ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30",58.11,57.9,58.28,57.05,57.32,-0.79,-1.36,6767152.0
ASL,0808,"ALLSHR,KMIALLSHR",13.66,13.67,13.92,13.46,13.53,-0.13,-0.95,6425271.0
PPL,0820,"ALLSHR,JSMFI,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30,MZNPI,NBPPGI,NITPGI,OGTI",224.15,224.99,225.75,220.9,221.4,-2.75,-1.23,6261232.0
AKBL,0807,"ALLSHR,KSE100,KSE100PR",94.93,95.75,100.5,95.1,98.27,3.34,3.52,6036595.0
FFL,0810,"ACI,ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR",20.08,20.1,20.31,19.86,20.06,-0.02,-0.1,5795215.0
SGPL,0824,"ALLSHR,KMIALLSHR",29.63,26.67,32.23,26.67,30.99,1.36,4.59,5726123.0
AGHA,0808,ALLSHR,8.69,8.5,8.89,8.5,8.68,-0.01,-0.11,5300745.0
FCL,0803,"ALLSHR,KMIALLSHR",26.61,26.35,26.91,26.01,26.05,-0.56,-2.1,5143207.0
