Pakistan Stock Exchange - COMPLETELY FIXED Data
Timestamp,2025-12-21 08:19:28
Total Valid Stocks,485
Supabase Upload,Yes
Fix Applied,Complete column mapping correction - All data validated

Symbol,Sector,Listed_In,LDCP,Open,High,Low,Current,Change,Change(%),Volume
KEL,0824,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",5.61,5.61,5.91,5.6,5.85,0.24,4.28,116033046.0
BML,0807,ALLSHR,6.06,6.1,6.2,6.05,6.08,0.02,0.33,24746523.0
CSIL,0812,ALLSHR,7.3,8.3,8.3,7.77,8.3,1.0,13.7,23054429.0
HUMNL,0828,"ALLSHR,KSE100,KSE100PR",14.63,14.6,14.9,14.35,14.59,-0.04,-0.27,22926661.0
NCPL,0824,ALLSHR,51.23,52.0,56.35,51.6,56.16,4.93,9.62,22906260.0
PACE,0838,ALLSHR,18.71,18.98,20.14,18.75,19.2,0.49,2.62,20201462.0
WTL,0828,ALLSHR,1.81,1.83,1.83,1.79,1.79,-0.02,-1.1,18612012.0
"DSL
NC",0808,ALLSHR,7.95,8.0,8.18,7.73,7.94,-0.01,-0.13,17644353.0
PIAHCLA,0813,"ALLSHR,JSMFI",45.22,44.98,45.35,43.41,43.98,-1.24,-2.74,17566137.0
NPL,0824,ALLSHR,65.37,66.51,71.91,66.51,71.91,6.54,10.01,17210999.0
TPL,0828,ALLSHR,11.61,11.9,12.1,11.35,11.65,0.04,0.35,17059304.0
TRSM,0819,"ALLSHR,KMIALLSHR",27.77,24.99,29.4,24.99,25.04,-2.73,-9.83,16238342.0
BOP,0807,"ALLSHR,BKTI,JSGBKTI,KSE100,KSE100PR,KSE30,PSXDIV20",37.46,37.5,37.6,36.8,37.0,-0.46,-1.23,15731855.0
CEPB,0822,"ALLSHR,KMIALLSHR",32.29,32.94,35.52,32.5,33.85,1.56,4.83,14658315.0
MEBL,0807,"ALLSHR,BKTI,JSGBKTI,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30,NBPPGI,NITPGI,PSXDIV20,UPP9",434.63,436.49,444.1,435.56,438.78,4.15,0.96,14227920.0
DGKC,0804,"ACI,ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30,MZNPI",245.21,249.0,256.0,242.48,244.13,-1.08,-0.44,14209925.0
SBL,0807,ALLSHR,15.25,15.23,16.78,15.0,15.28,0.03,0.2,13722420.0
CNERGY,0825,"ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR",7.71,7.7,7.73,7.49,7.58,-0.13,-1.69,12731365.0
SPWL,0824,"ALLSHR,KMIALLSHR",11.51,11.6,12.5,11.51,11.97,0.46,4.0,12495404.0
TELE,0828,"ALLSHR,KMIALLSHR",11.98,12.05,12.22,11.55,11.67,-0.31,-2.59,12102140.0
MLCF,0804,"ACI,ALLSHR,JSMFI,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30,MZNPI",123.93,125.0,125.47,117.5,118.98,-4.95,-3.99,11761471.0
QUICE,0810,"ALLSHR,KMIALLSHR",19.22,20.14,20.8,18.01,18.25,-0.97,-5.05,10123364.0
TOMCL,0810,"ALLSHR,KMIALLSHR",51.62,52.49,54.0,51.82,52.53,0.91,1.76,10093554.0
BECO,0808,"ALLSHR,KMIALLSHR",6.9,7.0,7.04,6.72,6.75,-0.15,-2.17,9685154.0
"HASCOL
NC",0821,ALLSHR,15.22,15.22,15.4,14.7,14.94,-0.28,-1.84,9152145.0
PIBTL,0833,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",17.42,17.53,17.66,17.24,17.3,-0.12,-0.69,8906536.0
FNEL,0813,ALLSHR,20.19,20.37,20.69,19.6,19.73,-0.46,-2.28,8454110.0
TPLP,0838,"ALLSHR,KMIALLSHR",12.92,12.92,13.05,12.55,12.6,-0.32,-2.48,8414079.0
YOUW,0831,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",5.56,5.65,6.1,5.64,5.76,0.2,3.6,7891054.0
FCCL,0804,"ACI,ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30",57.69,57.5,58.38,55.95,56.13,-1.56,-2.7,7656817.0
FCL,0803,"ALLSHR,KMIALLSHR",25.64,25.64,26.3,25.3,26.08,0.44,1.72,7638417.0
KOSM,0830,ALLSHR,6.76,6.85,6.98,6.75,6.78,0.02,0.3,7592305.0
DHPL,0813,"ALLSHR,KSE100,KSE100PR",44.57,40.11,43.2,40.11,40.2,-4.37,-9.8,7177221.0
SEARL,0823,"ACI,ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30",112.88,112.87,113.48,109.53,110.08,-2.8,-2.48,7087206.0
"DFSM
NC",0830,ALLSHR,5.47,5.6,6.39,5.6,5.97,0.5,9.14,6688636.0
MERIT,0822,"ALLSHR,KMIALLSHR",13.3,13.25,14.63,13.25,13.7,0.4,3.01,6162860.0
PPL,0820,"ALLSHR,JSMFI,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30,MZNPI,NBPPGI,NITPGI,OGTI",220.81,221.5,224.0,218.01,219.33,-1.48,-0.67,5985255.0
TREET,0810,"ALLSHR,KMIALLSHR",32.13,32.13,32.3,31.53,31.59,-0.54,-1.68,5621845.0
SSGC,0821,"ALLSHR,JSMFI,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30",37.11,37.2,37.39,36.4,36.56,-0.55,-1.48,5432904.0
IMS,0813,ALLSHR,21.63,21.7,23.39,21.7,22.59,0.96,4.44,5237295.0
NML,0829,"ACI,ALLSHR,KMIALLSHR,KSE100,KSE100PR",184.03,185.49,190.7,183.8,184.88,0.85,0.46,4985393.0
SGPL,0824,"ALLSHR,KMIALLSHR",34.09,35.47,37.5,32.5,34.13,0.04,0.12,4971205.0
RPL,0822,"ALLSHR,KMIALLSHR",19.97,20.79,21.2,19.5,20.21,0.24,1.2,4857585.0
PTC,0828,"ALLSHR,JSMFI,KSE100,KSE100PR",47.41,47.48,47.49,46.26,46.43,-0.98,-2.07,4601109.0
MACFL,0822,"ALLSHR,KMIALLSHR",30.85,31.25,33.5,31.01,32.37,1.52,4.93,4223176.0
ENGROH,0813,"ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30,MZNPI,NBPPGI,NITPGI,UPP9",230.93,231.01,235.0,226.51,229.24,-1.69,-0.73,4050761.0
TSBL,0813,ALLSHR,39.95,39.9,41.9,37.42,38.04,-1.91,-4.78,4008308.0
TBL,0802,"ALLSHR,KMIALLSHR",12.75,12.89,13.1,12.65,12.75,0.0,0.0,3837300.0
"NBP
XD",0807,"ALLSHR,BKTI,JSGBKTI,KSE100,KSE100PR,KSE30",239.21,239.49,241.99,237.0,237.81,-1.4,-0.58,3822079.0
MUGHAL,0808,"ACI,ALLSHR,KMIALLSHR",104.23,105.0,107.88,102.0,104.3,0.07,0.07,3489965.0
ITTEFAQ,0808,"ALLSHR,KMIALLSHR",10.38,10.41,10.68,9.97,10.07,-0.31,-2.99,3484245.0
FFL,0810,"ACI,ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR",19.91,19.89,19.98,19.66,19.7,-0.21,-1.05,3394860.0
DCL,0804,"ALLSHR,KMIALLSHR",13.45,13.66,13.7,12.11,13.09,-0.36,-2.68,3099013.0
PAEL,0803,"ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30,MZNPI",55.42,55.5,55.94,54.41,54.57,-0.85,-1.53,3088443.0
FFLM,0819,"ALLSHR,KMIALLSHR",10.89,11.5,11.8,10.5,10.69,-0.2,-1.84,3057760.0
BNL,0810,"ALLSHR,KMIALLSHR",12.5,12.5,12.66,12.42,12.52,0.02,0.16,3052708.0
